year, EC-Earth3-Veg, UKESM1-0-LL, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM
2.050000000000000000e+03, 1.506626732134910054e-09, 6.410619193785262076e-10, 9.837419897070326138e-10, 1.684746570916342019e-09, 1.431266221565756766e-10, 9.448239596995093869e-11, 7.263425466508097880e-10, 5.225204602590678525e-10, 1.543504661414928236e-10
2.051000000000000000e+03, 1.563985282964379940e-09, 6.320415866211918510e-10, 8.579186420426248238e-10, 1.740430719342146214e-09, 1.458265048039207592e-10, 9.409156901422854307e-11, 7.185439016579868452e-10, 5.900603553932072905e-10, 1.618735243056547888e-10
2.052000000000000000e+03, 1.526710213227624318e-09, 6.451461362798500730e-10, 1.024708659524530067e-09, 1.756000870739212109e-09, 1.441854964306596237e-10, 9.375310674048638040e-11, 7.196771060495293130e-10, 5.237979404522694946e-10, 1.600508682976807338e-10
2.053000000000000000e+03, 1.550468221755457848e-09, 6.451073078969840438e-10, 9.246652237771323723e-10, 1.813369534891234860e-09, 1.431991754284666609e-10, 9.340308934030366933e-11, 7.131909312487487675e-10, 3.917837252275690332e-10, 1.584135670442183320e-10
2.054000000000000000e+03, 1.531437393224046445e-09, 6.111694545420850364e-10, 1.115317903785337698e-09, 1.721405752852833895e-09, 1.424497837957305794e-10, 9.337123308994777883e-11, 7.156496095648404678e-10, 4.330192540051989499e-10, 1.564834371417531909e-10
2.055000000000000000e+03, 1.577661627287625070e-09, 6.226296644594319961e-10, 9.892636198265875301e-10, 1.793734647390531167e-09, 1.417960726449239258e-10, 9.338609293183332535e-11, 7.170387604104302643e-10, 5.147606316439265516e-10, 1.553697613933313993e-10
2.056000000000000000e+03, 1.574156189631157948e-09, 6.238929687346742236e-10, 1.055647625097236360e-09, 1.727456054236221802e-09, 1.412889721135511785e-10, 9.341164823301097393e-11, 7.386269128563791970e-10, 5.808869110980827122e-10, 1.544264749511629635e-10
2.057000000000000000e+03, 1.564870577816342955e-09, 6.597843158428905930e-10, 8.635965374784592121e-10, 1.822561298862018227e-09, 1.407754983707322981e-10, 9.311085775721565931e-11, 7.503310357427015791e-10, 5.622343877244319714e-10, 1.537747395368484940e-10
2.058000000000000000e+03, 1.621862292186602202e-09, 7.186553786829839910e-10, 1.122629504088797945e-09, 1.850464244522511466e-09, 1.403223443271245957e-10, 9.282334440049119088e-11, 7.538033213738515884e-10, 5.454331442014002323e-10, 1.530160720911781150e-10
2.059000000000000000e+03, 1.592702288819743089e-09, 6.594558023352470061e-10, 9.065850222693042640e-10, 1.653957735383515142e-09, 1.396601080415546556e-10, 9.257756506587423580e-11, 7.528305135540486813e-10, 5.230002373206482455e-10, 1.519793531360197280e-10
2.060000000000000000e+03, 1.639858586508665525e-09, 5.726073581888691030e-10, 1.166464120974409738e-09, 1.691866795798493537e-09, 1.396768640557994345e-10, 9.266675262179297253e-11, 7.370805665425206538e-10, 5.104964867514931168e-10, 1.519785296754709567e-10
2.061000000000000000e+03, 1.618532938216586460e-09, 5.934440136291041284e-10, 9.602770116912797797e-10, 1.805349771695807094e-09, 1.393123297108469153e-10, 9.213955040684891668e-11, 7.372774408279179742e-10, 5.584035935177136871e-10, 1.514972747221947040e-10
2.062000000000000000e+03, 1.589756646371677570e-09, 6.449299408727101912e-10, 9.947525519921711259e-10, 1.812205400816891801e-09, 1.386161221440912236e-10, 9.214504613732729377e-11, 7.434962748268202453e-10, 6.050616722387148750e-10, 1.506416730149021102e-10
2.063000000000000000e+03, 1.636817062054329803e-09, 6.847904054194714724e-10, 1.080825677499570804e-09, 1.787149652797429363e-09, 1.374810301285434147e-10, 9.183728352673357452e-11, 7.467439207299538412e-10, 5.853774717216964142e-10, 1.496485078085216854e-10
2.064000000000000000e+03, 1.678418872869372718e-09, 7.515106473703980269e-10, 1.022101144491871893e-09, 1.972650137865980736e-09, 1.363796334923615914e-10, 9.201971682131790546e-11, 7.406643195212172283e-10, 5.999052388332448322e-10, 1.484368626058348528e-10
2.065000000000000000e+03, 1.641018657104965476e-09, 6.757686243402394098e-10, 1.114948451550171296e-09, 1.751069001885281230e-09, 1.357518076876768987e-10, 9.193721343909761752e-11, 7.558061185241423685e-10, 6.274715921764634164e-10, 1.478614000774047450e-10
2.066000000000000000e+03, 1.660327878083405005e-09, 6.942466214023361404e-10, 1.152166809605554396e-09, 1.912987432765635733e-09, 1.352907480826010387e-10, 9.161691748268076084e-11, 7.459272853958976685e-10, 5.915525600540566859e-10, 1.473499948655499767e-10
2.067000000000000000e+03, 1.720360300195838045e-09, 7.334628061533040687e-10, 9.996437879342764815e-10, 1.704667859355331256e-09, 1.344028912252754707e-10, 9.179588310787874084e-11, 7.349167583484568993e-10, 6.265337221813748817e-10, 1.465457469375086578e-10
2.068000000000000000e+03, 1.642244240408611480e-09, 6.908682507029098303e-10, 9.600966610466653716e-10, 1.754496625938412882e-09, 1.335844962115414152e-10, 9.180954323425266909e-11, 7.367254705227003735e-10, 6.556034807045760917e-10, 1.458313158097164179e-10
2.069000000000000000e+03, 1.664411845098645727e-09, 6.746544964952485961e-10, 9.045367019514711046e-10, 1.814704009835643375e-09, 1.322771507693572535e-10, 9.152362916897245420e-11, 7.387456566786007585e-10, 6.478836649123539380e-10, 1.442740367914700493e-10
2.070000000000000000e+03, 1.629473744174612502e-09, 7.240890875107201029e-10, 1.141375571522364454e-09, 1.830993410384049818e-09, 1.312512250800535981e-10, 9.098918507001087583e-11, 7.408566157378532542e-10, 5.955757958260531742e-10, 1.434389114663936353e-10
2.071000000000000000e+03, 1.767926188385754656e-09, 7.068537393612569288e-10, 8.677413543665890119e-10, 1.919811173855266584e-09, 1.302998211280588278e-10, 9.038560367489954300e-11, 7.571252871612054301e-10, 5.940029304569670780e-10, 1.424528940415776001e-10
2.072000000000000000e+03, 1.697156249920936633e-09, 7.078378945648458593e-10, 9.022646770803543664e-10, 1.966104420330146297e-09, 1.293496675197338829e-10, 8.979091909734862597e-11, 7.541516174020429402e-10, 5.877047814587004823e-10, 1.415396034494401785e-10
2.073000000000000000e+03, 1.715809042087389611e-09, 7.449369919386991283e-10, 1.083510579913263716e-09, 1.786828998472548767e-09, 1.283996101595297541e-10, 8.961431043796752054e-11, 7.592565311918294052e-10, 5.233143048924008345e-10, 1.408062876501396744e-10
2.074000000000000000e+03, 1.743388913281311358e-09, 7.091960394806345215e-10, 1.255704358278845905e-09, 1.787091619862426896e-09, 1.276838926521468845e-10, 8.898903166122139917e-11, 7.701899884583461262e-10, 5.663378717942934605e-10, 1.401678185776920956e-10
2.075000000000000000e+03, 1.755210171105290019e-09, 6.505430903220741680e-10, 1.271375670846251833e-09, 1.940460265105951061e-09, 1.273676209250971269e-10, 8.809056966311765041e-11, 7.659560331659212007e-10, 6.763860104761438630e-10, 1.392512753255624465e-10
2.076000000000000000e+03, 1.735370252088901382e-09, 7.013683874905103063e-10, 1.231203266900556660e-09, 1.972591249187562325e-09, 1.268169400139878817e-10, 8.767350232081284820e-11, 7.641626681462367336e-10, 6.605957659260145594e-10, 1.382582278005341137e-10
2.077000000000000000e+03, 1.701375272497247923e-09, 6.688940242996293744e-10, 9.957094329615913621e-10, 1.905801538808993931e-09, 1.264101752013368569e-10, 8.746254963183889195e-11, 7.578436270318047298e-10, 6.338895872230740372e-10, 1.376921696135503077e-10
