year, EC-Earth3-Veg, CanESM5, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-LM, INM-CM4-8, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, ACCESS-ESM1-5
2.015000000000000000e+03, 2.763546031485228696e+02, 2.777026697298197178e+02, 2.763559228662907117e+02, 2.763031293451326178e+02, 2.758958006853987399e+02, 2.769388554094570623e+02, 2.754799196829205812e+02, 2.762312574814611139e+02, 2.774443784484165008e+02, 2.777573767527264295e+02, 2.763890393711156435e+02, 2.768291471014762806e+02, 2.780354415719310168e+02, 2.796745187265504455e+02, 2.773990810327293843e+02, 2.787559702530510322e+02
2.016000000000000000e+03, 2.768833274721376938e+02, 2.774528774476738135e+02, 2.761520276814850376e+02, 2.766171414276000746e+02, 2.757726862226578532e+02, 2.765953854879747951e+02, 2.755542446541794561e+02, 2.763177998080017232e+02, 2.784444639849565419e+02, 2.773283326456318036e+02, 2.770493088027019439e+02, 2.768465960166622040e+02, 2.787726450266504798e+02, 2.792007033135220126e+02, 2.769955389445936476e+02, 2.785702072459998817e+02
2.017000000000000000e+03, 2.771734201847826284e+02, 2.774690434144490609e+02, 2.766785320531067214e+02, 2.764167779061078249e+02, 2.762388716874108354e+02, 2.765696892857463354e+02, 2.755841868772823773e+02, 2.763685111061772091e+02, 2.782333507738953244e+02, 2.774479645149081080e+02, 2.766312826578935073e+02, 2.766492858873298246e+02, 2.786434935327675930e+02, 2.790227385045760684e+02, 2.766618694220024395e+02, 2.780092108454404070e+02
2.018000000000000000e+03, 2.765116529337749398e+02, 2.772228499595976245e+02, 2.762797200996470224e+02, 2.768836891939528755e+02, 2.763635119736853767e+02, 2.769400287916200227e+02, 2.760009777283981975e+02, 2.767002003840992757e+02, 2.782647251150008287e+02, 2.782409697131362805e+02, 2.768014077397710935e+02, 2.763112094893842254e+02, 2.774819947054180602e+02, 2.797661982216481533e+02, 2.771464598800081944e+02, 2.782756869095000525e+02
2.019000000000000000e+03, 2.768816697840008487e+02, 2.777507364212195853e+02, 2.767977590368748224e+02, 2.762173787275924042e+02, 2.761861549646551452e+02, 2.769400861407933121e+02, 2.767735750006592639e+02, 2.767489349678140229e+02, 2.787153066251601672e+02, 2.780469451718831806e+02, 2.769890178412981072e+02, 2.764760530027385244e+02, 2.776295298950753931e+02, 2.798493738134360456e+02, 2.775116370380343369e+02, 2.784278018032694035e+02
2.020000000000000000e+03, 2.757900171277999561e+02, 2.778483044416114467e+02, 2.771558916787137150e+02, 2.764971882665543603e+02, 2.761242282146658908e+02, 2.771517589534067270e+02, 2.758857528162172912e+02, 2.762408452925864140e+02, 2.777891824171163080e+02, 2.785863888897105767e+02, 2.771015156063581344e+02, 2.765213895491836524e+02, 2.785482089258897531e+02, 2.799904291075751530e+02, 2.766682216066663500e+02, 2.782475408619138193e+02
2.021000000000000000e+03, 2.767236885377610065e+02, 2.777403125986056693e+02, 2.766709536883939791e+02, 2.764259190020969754e+02, 2.771988484751497595e+02, 2.766162997348291128e+02, 2.757372046912707901e+02, 2.761490166937207391e+02, 2.779084806630280582e+02, 2.781881964751546548e+02, 2.765580116267974518e+02, 2.769735979941549999e+02, 2.780539549345908767e+02, 2.802718433615781919e+02, 2.763749502267501157e+02, 2.783651108761562227e+02
2.022000000000000000e+03, 2.762540045101468422e+02, 2.778208231413653380e+02, 2.770551203782664516e+02, 2.771646234130899416e+02, 2.762811109951126127e+02, 2.769640889769870569e+02, 2.763165451909469539e+02, 2.758858351049460111e+02, 2.781244318651164917e+02, 2.784282623514473016e+02, 2.774501298364188528e+02, 2.772164503241287434e+02, 2.782645879142816625e+02, 2.799514367454364105e+02, 2.766993443472024410e+02, 2.784247755658123538e+02
2.023000000000000000e+03, 2.761150243218257287e+02, 2.781425073620644071e+02, 2.773957865275842209e+02, 2.765740256835294417e+02, 2.757438615196742262e+02, 2.767231325591133668e+02, 2.764327433386434905e+02, 2.764219456673549757e+02, 2.784049812249608635e+02, 2.776431451298666957e+02, 2.773386327943051697e+02, 2.763900195288364330e+02, 2.781092159509742601e+02, 2.805922042923509707e+02, 2.769180699477705616e+02, 2.786473847303768707e+02
2.024000000000000000e+03, 2.761815702360385103e+02, 2.784831496230387984e+02, 2.770229987401530707e+02, 2.764443027190991415e+02, 2.762800748149312540e+02, 2.766662214854127910e+02, 2.765285530739668616e+02, 2.775341378122227525e+02, 2.787784192994481032e+02, 2.778565828422088089e+02, 2.768701575248243216e+02, 2.768625463563923859e+02, 2.776105690938873636e+02, 2.801795565995238917e+02, 2.770656352372181459e+02, 2.793225449735473944e+02
